Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors,movieCd,fd_rank,w1_rank,w2_rank,w1_au,w2_au,w3_au
161.0,보호자,2023-08-15,1238586700.0,0.0,1238586700.0,128487.0,128487.0,685.0,10996.0,한국,한국,(주)영화사테이크,(주)에이스메이커무비웍스,15세이상관람가,"액션,드라마",정우성,"정우성,김남길,김준한,박성웅,박유나,이엘리야,류지안,박성준,문성환,김주헌,박성근,김문학,박용,이은경,이효비,최수임,김준현,길창규,나종민,허승,김윤도,임준혁,이한결,오경택,이재성,송지우,신윤주,이가연,이세인,이하은,김서빈,이수민,김하나,권은성,최낙권,한대훈,배향,선우,강신하,이두석,민상우,박진영,김윤정",20192995,7,6,7,107775,124907,126484
162.0,길위에 김대중,2024-01-10,1217366609.0,0.0,1217366609.0,127903.0,127903.0,414.0,9928.0,한국,한국,"(주)명필름,(주)시네마6411","(주)아이오케이컴퍼니,(주)명필름,(주)시네마6411",12세이상관람가,다큐멘터리,민환기,"김대중,김도영,김재록,서석규,김남희,장현성",20235353,6,7,8,65322,98592,113005
163.0,패스트 라이브즈,2024-03-06,1177210399.0,0.0,1177210399.0,126437.0,126437.0,613.0,15750.0,미국,미국,,(주)씨제이이엔엠,12세이상관람가,드라마,셀린 송,"그레타 리,유태오,존 마가로",20234789,4,4,7,67148,94281,111088
164.0,두다다쿵: 후후섬의 비밀,2023-02-15,1136395650.0,0.0,1136395650.0,125978.0,125978.0,514.0,8549.0,한국,한국,아이스크림 스튜디오(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최병선,김지윤",,20210684,5,6,6,52063,90281,114378
167.0,블루 자이언트,2023-10-18,1175687658.0,0.0,1175687658.0,121505.0,121505.0,574.0,13250.0,일본,일본,,판씨네마(주),12세이상관람가,애니메이션,타치카와 유즈루,"야마다 유키,마미야 쇼타로,오카야마 아마네",20233178,4,4,6,52221,70731,90407
168.0,그란 투리스모,2023-09-20,1200410739.0,0.0,1200410739.0,120125.0,120125.0,883.0,17744.0,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,액션,,,20233411,2,3,13,94255,109596,117764
169.0,몬스터 패밀리 2,2023-08-02,996981533.0,0.0,996981533.0,119568.0,119568.0,434.0,6752.0,영국,영국,,메가박스중앙(주),전체관람가,애니메이션,호거 태프,"에밀리 왓슨,닉 프로스트,제시카 브라운 핀들레이",20232836,6,8,13,75348,106817,112778
170.0,다음 소희,2023-02-08,1130701168.0,0.0,1130701168.0,118953.0,118953.0,562.0,11008.0,한국,한국,"트윈플러스파트너스(주),크랭크업필름(주)",트윈플러스파트너스(주),15세이상관람가,드라마,정주리,"김시은,배두나,박우영,이인영,박희은,김용준,심희섭,정수하,박현하,이윤지,조하민,박윤희,최희진,유정호,문정웅,박서경,김우겸,김태웅,송요셉,나종민,허정도,박수영,권다함,황정민,한혜지,엄옥란,유재연,이종민,박건주,김우영,이승영,유용희,민재원,안소정,나예은,추은경,정수하,문성렬,문정웅",20223565,9,8,7,48437,71806,89329
171.0,말하고 싶은 비밀,2023-12-13,1121475015.0,0.0,1121475015.0,118928.0,118928.0,401.0,7788.0,일본,일본,,"(주)바이포엠스튜디오,홀리가든",전체관람가,멜로/로맨스,,사쿠라다 히요리,20235980,5,4,14,57572,70875,91168
172.0,문재인입니다,2023-05-10,1133663035.0,0.0,1133663035.0,116959.0,116959.0,602.0,10332.0,한국,한국,다이스필름(주),유한회사 엠프로젝트,12세이상관람가,다큐멘터리,이창재,,20231437,4,7,8,82107,108278,112654
