w1_au,w2_au,w1_av_sc,slope,nt_ch
122102,41799,140.0022932022932,-1.8747236512111325,-10.672301500963911
80621,32817,125.66176798040526,-8.596538975874216,-26.924940664069247
88494,22937,129.89263996645,-9.25225994281288,-35.58675772258019
67681,25815,120.82810507523592,5.162141558619999,16.188057226084567
91536,19745,99.66588894073728,-6.594986681417092,-39.59408144955288
71067,26854,165.27209302325582,-3.7118665774874895,-18.47656464620992
68040,16722,115.15473887814312,-1.1136909756431532,-4.768844028996085
68483,22856,108.18799368088467,-0.5802943387503993,-9.6729887513304
50973,19259,75.80433397068197,-2.026258799982891,-17.302735389500334
57602,12307,106.30477194832584,-6.949534484387868,-22.1652817772801
189737,108173,382.424128995105,-0.9973239090740904,-1.6962122410181877
29923,7900,115.78828081813155,-5.430834869951431,-22.73601413634941
27705,7785,68.31102500880591,-3.156890301715188,-8.6696960723351
14589,7934,88.6484375,-3.403573179057104,-16.77349542752632
18078,2552,106.43061396131202,-7.714236664061941,-26.18481738879587
13342,4033,65.67791842475386,-4.657260470266682,-14.386321812149037
10379,5435,205.23446327683612,-4.895917444535044,-15.621408094685547
