Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
5660,범죄도시,2017-10-03 00:00:00,55000,0,56322153349,11,6880546,1,7,한국,한국,"(주)홍필름,(주)비에이엔터테인먼트","플러스엠 엔터테인먼트,(주)키위미디어그룹",청소년관람불가,"범죄,액션",강윤성,"마동석,윤계상,조재윤,최귀화,박상규,유지연,최성재,이경원,이태규,진선규,허동원,김성규,박지환,오민애,허성태,이성우,민무제,한성천,홍기준,배진웅,정인기,서문호,윤주,박기륭,정인겸,하준,김용호"
5660,별들이 내려온다,,56000,0,56000,11,11,1,2,영국,영국,,,,드라마,캐롤 리드,
5660,섹션 4 청년의 아시아,,76000,0,76000,11,11,1,2,기타,기타,,,,기타,,
5660,소림절세귀동 - 천하곡술,2020-05-20 00:00:00,11000,0,11000,11,11,4,11,홍콩,홍콩,,(유)조이앤시네마,15세이상관람가,액션,황송,
5660,소용돌이 속에서,,74000,0,74000,11,11,1,1,독일,"독일,폴란드,벨기에",,,,기타,마린 고리스,
5660,소울 오브 브레드,2013-12-26 00:00:00,72300,0,8149300,11,1202,1,8,대만,대만,,(유)영화사 화수분,12세이상관람가,"멜로/로맨스,코미디","고병권,임군양","진한전,진연희,예안동,언승우"
5660,실종2,2017-11-30 00:00:00,34000,0,11286500,11,1524,1,1,한국,한국,(주)영화공장,(주)드림팩트엔터테인먼트,청소년관람불가,스릴러,조성규,"함은정,이원종,서준영,김혜나,배호근,정두원,조선묵,조은경,최원"
5660,올모스트 데어,,47000,0,47000,11,11,1,1,스위스,스위스,,,,다큐멘터리,,
5660,제1회 스태프 영화제 - 촬영2 조영천,,115000,0,115000,11,11,1,1,한국,한국,,,,,,
5660,제니의 초상,,22000,0,1395000,11,474,1,1,미국,미국,,,,드라마,윌리엄 디터리,"제니퍼 존스,조셉 코튼"
5660,지난 해 마리앙바드에서,,64000,0,2599000,11,461,1,1,프랑스,"프랑스,이탈리아",,,,"드라마,미스터리,멜로/로맨스",알랭 레네,"델핀 세이릭,사샤 피퇴프,조르지오 알베르타찌"
5660,지뢰제거반,,51000,0,51000,11,11,1,2,스웨덴,스웨덴,,,,다큐멘터리,,
5660,철인들,,22000,0,22000,11,11,1,1,미국,미국,,,,서부극(웨스턴),앤드류 V. 맥라글렌,"존 웨인,록 허드슨"
5660,콩고,,47000,0,47000,11,11,1,1,프랑스,프랑스,,,,다큐멘터리,,
