Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
50.0,클리포드 더 빅 레드 독,2022-01-12,267143090.0,0.001,267773090.0,30248.0,30318.0,356.0,3420.0,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,"어드벤처,드라마,가족",월트 벡커,"시에나 길로리,존 클리즈,안소명,신용우,여민정,임채헌,오인성,김지성"
51.0,극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,2022-02-17,239098800.0,0.001,239098800.0,28703.0,28703.0,236.0,3906.0,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,액션,어드벤처",,"하성용,정재헌,엄상현,윤승희,김율,유동균,김정은,한경화,장미"
53.0,블랙라이트,2022-03-09,228699190.0,0.001,228699190.0,25401.0,25401.0,521.0,6048.0,미국,미국,,(주)퍼스트런,15세이상관람가,"액션,스릴러",마크 윌리엄스,리암 니슨
55.0,레지던트 이블: 라쿤시티,2022-01-19,216277970.0,0.001,216277970.0,24722.0,24722.0,276.0,4927.0,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,"액션,공포(호러)",요하네스 로버츠,"카야 스코델라리오,해나 존-케이먼,로비 아멜,도날 로그,닐 맥도노프"
56.0,만년이 지나도 변하지 않는 게 있어,2022-02-09,204705110.0,0.001,206009110.0,24278.0,24441.0,297.0,3281.0,대만,대만,,"그린나래미디어(주),(주)영화사벌집",12세이상관람가,"멜로/로맨스,액션,공포(호러),코미디,판타지",구파도,"가진동,송운화,왕정"
57.0,비욘드라이브 더 무비 : 엔시티 레조넌스,2022-01-12,339307500.0,0.001,339307500.0,22621.0,22726.0,34.0,524.0,한국,한국,씨제이 씨지브이(CJ CGV)(주),씨제이 씨지브이(CJ CGV)(주),전체관람가,공연,,
59.0,리코리쉬 피자,2022-02-16,213876700.0,0.001,213876700.0,21188.0,21277.0,222.0,3650.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"멜로/로맨스,드라마",폴 토마스 앤더슨,"알라나 하임,쿠퍼 호프만,숀 펜,톰 웨이츠,브래들리 쿠퍼,베니 사프디"
60.0,어부바,2022-05-11,172376470.0,0.001,172376470.0,20964.0,24408.0,327.0,3404.0,한국,한국,"(주)글로빅엔터테인먼트,(주)에이치에이케이프로덕션",(주)트리플픽쳐스,전체관람가,가족,최종학,"정준호,최대철,이엘빈,박정숙,김수경,현우섭,곽민석,이이만,권혁진,어석환,강서린,방준혁,최우록,주소정,이류경,유준혁,김하린,나대한,김정섭,김재용,윤다정,한하랑,신지환,류인영,오예림,박근영,김시은,전소전,이예린,강경숙,장은정,황인준,이정주,김현영,손대원,이재철,정영록,양진철,장하근,정근영,조유진,최문수"
61.0,우연과 상상,2022-05-04,197568200.0,0.001,198632200.0,19987.0,26669.0,56.0,1774.0,일본,일본,,"그린나래미디어(주),(주)영화사 안다미로",15세이상관람가,"드라마,멜로/로맨스",하마구치 류스케,"현리,나카지마 아유무,시부카와 키요히코,우라베 후사코,카와이 아오바"
62.0,"아치의 노래, 정태춘",2022-05-18,189160620.0,0.001,190088620.0,19613.0,35312.0,149.0,1601.0,한국,한국,(주)인디플러그,(주)넥스트엔터테인먼트월드(NEW),전체관람가,다큐멘터리,고영재,"정태춘,박은옥"
64.0,말임씨를 부탁해,2022-04-13,141681670.0,0.001,141681670.0,18660.0,21783.0,197.0,2163.0,한국,한국,"(주)파란오이,안목",(주)씨네필운,전체관람가,드라마,박경목,"김영옥,김영민,박성연,김혜나,최서연,심소영,김재록,김하진,이주미,이지영,김수정,이양희,박선옥,이정은,이경미,김예슬,김한상,채윤희,정서인,김봉희,임강희,최정원,김준석,곽용,이미선,이미정,이현주,최자인,김태백,윤준협,민재,손예원,이세아,김희윤,곽민준,정경임,반혜영,정보미,정윤소,박재희,김영재,정성일"
70.0,광대: 소리꾼,2022-02-24,106157170.0,0.0,123967170.0,13815.0,23269.0,116.0,1041.0,한국,한국,주식회사 제이오엔터테인먼트코리아,트윈플러스파트너스(주),12세이상관람가,"사극,드라마",조정래,"이봉근,이유리,김하연,박철민,김동완,김민준,이주미"
